date,orders,gmv,entered,bonus_rate,events
2026-08-24,32,615831,0,,
2026-08-25,118,2243437,1,0.05,
2026-08-26,62,1166157,1,0.03,
2026-08-27,58,1224870,0,,
2026-08-28,60,1135422,0,,
2026-08-29,56,1119991,0,,
2026-08-30,63,1216936,1,0.02,
2026-08-31,40,694833,0,,
2026-09-01,53,1124034,0,,
2026-09-02,54,1092658,0,,
2026-09-03,54,1028339,0,,
2026-09-04,47,899631,0,,
2026-09-05,71,1483900,0,,
2026-09-06,73,1496734,1,0.03,プレミアムな日曜日
2026-09-07,34,738111,0,,
2026-09-08,72,1492042,1,0.03,Yahoo!ショッピング感謝デー
2026-09-09,54,1127643,0,,
2026-09-10,42,856797,1,0.04,
2026-09-11,59,1138233,1,0.03,
2026-09-12,69,1381418,0,,
2026-09-13,54,1086787,0,,
2026-09-14,52,1039013,0,,
